Kabaike Station	蒲池駅 (愛知県)（かばいけ）
Kōikikōenmae Station	広域公園前駅（こういきこうえんまえ）
Koishihama Station	恋し浜駅（こいしはま）
Koishiro Station	漕代駅（こいしろ）
Koiwa Station	小岩駅（こいわ）
Koiwagawa Station	小岩川駅（こいわがわ）
Koiwai Station	小岩井駅（こいわい）
Koiyamagata Station	恋山形駅（こいやまがた）
Koizumi Station (Ehime)	古泉駅（こいずみ）
Koizumi Station (Gifu)	小泉駅（こいずみ）
Koizumimachi Station	小泉町駅（こいずみまち）
Kojima Station	児島駅（こじま）
Kojimashinden Station	小島新田駅（こじましんでん）
Kōjimachi Station	麹町駅（こうじまち）
Kōjiro Station (Nagasaki)	神代駅 (長崎県)（こうじろ）
Kōjiro Station (Yamaguchi)	神代駅 (山口県)（こうじろ）
Kōjiya Station	糀谷駅（こうじや）
Kojōhama Station	虎杖浜駅（こじょうはま）
Kōka Station	甲賀駅（こうか）
Kōkandōmae Station	広貫堂前駅（こうかんどうまえ）
Kokawa Station	粉河駅（こかわ）
Kokenawa Station	苔縄駅（こけなわ）
Kōkimae Station	工機前駅（こうきまえ）
Kokinu Station	小絹駅（こきぬ）
Kokkai-gijidō-mae Station	国会議事堂前駅（こっかいぎじどうまえ）
Kokokei Station	古虎渓駅（ここけい）
Kokonoe Station	九重駅（ここのえ）
Kokubo Station	国母駅（こくぼ）
Kokubu Station (Kagawa)	国分駅 (香川県)（こくぶ）
Kokubu Station (Kagoshima)	国分駅 (鹿児島県)（こくぶ）
Kokubunji Station	国分寺駅（こくぶんじ）
Kokudō Station	国道駅（こくどう）
Kokufu Station	国府駅 (兵庫県)（こくふ）
Kokufu-Tagajō Station	国府多賀城駅（こくふたがじょう）
Kōkū-kōen Station	航空公園駅（こうくうこうえん）
Kokura Station	小倉駅 (福岡県)（こくら）
Kokuritsu Kyōgijō Station	国立競技場駅（こくりつきょうぎじょう）
Kokuryō Station	国領駅（こくりょう）
Kokusai Center Station	国際センター駅（こくさいせんたー）
Kokusaikaikan Station	国際会館駅（こくさいかいかん）
Kokusai-Tenjijō Station	国際展示場駅（こくさいてんじじょう）
Kōma Station (Iwate)	好摩駅（こうま）
Koma Station (Saitama)	高麗駅（こま）
Komaba-Tōdaimae Station	駒場東大前駅（こまばとうだいまえ）
Komachi Station	古町駅（こまち）
Komachiya Station	小町屋駅（こまちや）
Komada Station	狛田駅（こまだ）
Komae Station	狛江駅（こまえ）
Komagabayashi Station	駒ヶ林駅（こまがばやし）
Komagamine Station	駒ヶ嶺駅（こまがみね）
Komagane Station	駒ヶ根駅（こまがね）
Komagata Station	駒形駅（こまがた）
Komagatake Station	駒ヶ岳駅（こまがたけ）
Komagatani Station	駒ヶ谷駅（こまがたに）
Komagawa Station	高麗川駅（こまがわ）
Komagawa-Nakano Station	駒川中野駅（こまがわなかの）
Komagome Station	駒込駅（こまごめ）
Komaiko Station	小舞子駅（こまいこ）
Komaki Station	小牧駅（こまき）
Komakiguchi Station	小牧口駅（こまきぐち）
Komakihara Station	小牧原駅（こまきはら）
Komanaki Station	駒鳴駅（こまなき）
Komano Station	駒野駅（こまの）
Komatsu Station	小松駅（こまつ）
Komatsukawa Station	小松川駅（こまつかわ）
Komazawa-Daigaku Station	駒沢大学駅（こまざわだいがく）
Kōme Station	神目駅（こうめ）
Komeno Station	米野駅（こめの）
Komenoki Station	米野木駅（こめのき）
Komenotsu Station	米ノ津駅（こめのつ）
Komi Station (Aichi)	古見駅 (愛知県)（こみ）
Komi Station (Okayama)	古見駅 (岡山県)（こみ）
Kōmi Station	神海駅（こうみ）
Kominato Station	小湊駅（こみなと）
Komiya Station	小宮駅（こみや）
Komono Station	菰野駅（こもの）
Komorie Station	小森江駅（こもりえ）
Komoriutanosato-Takaya Station	子守唄の里高屋駅（こもりうたのさとたかや）
Komoro Station	小諸駅（こもろ）
Komoto Station	小本駅 (愛知県)（こもと）
Komuro Station	小室駅（こむろ）
Kōmyōike Station	光明池駅（こうみょういけ）
Kōmyōji Station	光明寺駅（こうみょうじ）
Konagai Station	小長井駅（こながい）
Konaka Station	小中駅（こなか）
Konakano Station	小中野駅（こなかの）
Kōnan Station (Shiga)	甲南駅（こうなん）
Kōnan Station (Aichi)	江南駅 (愛知県)（こうなん）
Kōnan Station (Shimane)	江南駅 (島根県)（こうなん）
Kōnan-chūō Station	港南中央駅（こうなんちゅうおう）
Kōnandai Station	港南台駅（こうなんだい）
Kōnan-Yamate Station	甲南山手駅（こうなんやまて）
Konashi Station	小梨駅（こなし）
Konba Station	今羽駅（こんば）
Konbu Station	昆布駅（こんぶ）
Konbumori Station	昆布盛駅（こんぶもり）
Kongō Station	金剛駅（こんごう）
Konkou Station	金光駅（こんこう）
Konno Station	木尾駅（こんの）
Kōnodai Station	国府台駅（こうのだい）
Konoha Station	木葉駅（このは）
Kōnohara-Enshin Station	河野原円心駅（こうのはらえんしん）
Kōnoikeshinden Station	鴻池新田駅（こうのいけしんでん）
Kōnokawa Station	高野川駅（こうのかわ）
Kōnomiya Station	国府宮駅（こうのみや）
Kōnosu Station	鴻巣駅（こうのす）
Kōnotori-no-sato Station	コウノトリの郷駅（こうのとりのさと）
Konoura Station	金浦駅（このうら）
Kōnoyama Station	鴻野山駅（こうのやま）
Kōnu Station	甲奴駅（こうぬ）
Konpiramae Station	金比羅前駅（こんぴらまえ）
Konzouji Station	金蔵寺駅（こんぞうじ）
Kōge Station	郡家駅（こおげ）
Kōrakuen Station	後楽園駅（こうらくえん）
Koremasa Station	是政駅（これまさ）
Kori Station	古里駅（こり）
Kōri Station	桑折駅（こおり）
Kōrien Station	香里園駅（こうりえん）
Kōrimoto Station (JR Kyushu)	郡元駅 (JR九州)（こおりもと）
Kōrimoto Station (Kagoshima City Tram)	郡元駅 (鹿児島市電)（こおりもと）
Kōritsubyōinmae Station	公立病院前駅（こうりつびょういんまえ）
Kōriyama Station (Fukushima)	郡山駅 (福島県)（こおりやま）
Kōriyama Station (Nara)	郡山駅 (奈良県)（こおりやま）
Kōriyama Kamotsu Terminal Station	郡山貨物ターミナル駅（こおりやまかもつたーみなる）
Kōriyamatomita Station	郡山富田駅（こおりやまとみた）
Kōro Station	香呂駅（こうろ）
Kōroen Station	香櫨園駅（こうろえん）
Kosagawa Station	小砂川駅（こさがわ）
Kosagoe Station	小佐越駅（こさごえ）
Kosano Station	小佐野駅（こさの）
Kōsei Station	甲西駅（こうせい）
Koshibe Station	越部駅（こしべ）
Koshido Station	越戸駅（こしど）
Kōshien Station	甲子園駅（こうしえん）
Kōshienguchi Station	甲子園口駅（こうしえんぐち）
Koshigahama Station	越ヶ浜駅（こしがはま）
Koshigaya Station	越谷駅（こしがや）
Koshigaya-Laketown Station	越谷レイクタウン駅（こしがやれいくたうん）
Koshigoe Station	腰越駅（こしごえ）
Koshimizu Station	越水駅（こしみず）
Kōshinzuka Station	庚申塚駅（こうしんづか）
Kōshiyama Station	神志山駅（こうしやま）
Kōshunai Station	光珠内駅（こうしゅない）
Kōshūkaidō Station	甲州街道駅（こうしゅうかいどう）
Kōsoku-Kōbe Station	高速神戸駅（こうそくこうべ）
Kōsoku-Nagata Station	高速長田駅（こうそくながた）
Kosuge Station	小菅駅（こすげ）
Kosugi Station (Imizu, Toyama)	小杉駅 (富山県射水市)（こすぎ）
Kosugi Station (Toyama, Toyama)	小杉駅 (富山県富山市)（こすぎ）
Kosugō Station	越河駅（こすごう）
Kōtachi Station	甲立駅（こうたち）
Kotake Station	小竹駅（こたけ）
Kotake-Mukaihara Station	小竹向原駅（こたけむかいはら）
Kotaki Station	小滝駅（こたき）
Kotesashi Station	小手指駅（こてさし）
Kotobuki Station	寿駅（ことぶき）
Kōtōdai-Kōen Station	勾当台公園駅（こうとうだいこうえん）
Kotoden Kotohira Station	琴電琴平駅（ことでんことひら）
Kotoden Shido Station	琴電志度駅（ことでんしど）
Kotoden Yashima Station	琴電屋島駅（ことでんやしま）
Kōtōen Station	甲東園駅（こうとうえん）
Kotohira Station	琴平駅（ことひら）
Kotoni Station (JR Hokkaido)	琴似駅 (JR北海道)（ことに）
Kotoni Station (Sapporo Municipal Subway)	琴似駅 (札幌市営地下鉄)（ことに）
Kotoshiba Station	琴芝駅（ことしば）
Kotō Station	厚東駅（ことう）
Kōtsū Center mae Station	交通センター前駅（こうつうせんたーまえ）
Kotsuka Station	古津賀駅（こつか）
Kōtsūkyokumae Station	交通局前停留場 (熊本県)（こうつうきょくまえ）
Kotsunagi Station	小繋駅（こつなぎ）
Kotsuyōsui Station	木津用水駅（こつようすい）
Kottoi Station	特牛駅（こっとい）
Koumi Station	小海駅（こうみ）
Koura Station	小浦駅 (長崎県)（こうら）
Kouchiumi Station	小内海駅（こうちうみ）
Kōwa Station	河和駅（こうわ）
Kowada Station	小和田駅（こわだ）
Kōwaguchi Station	河和口駅（こうわぐち）
Kowakidani Station	小涌谷駅（こわきだに）
Kowashōzu Station	小和清水駅（こわしょうず）
Kowata Station	木幡駅 (京阪)（こわた）
Kōya Station (Chiba)	幸谷駅（こうや）
Kōya Station (Tokyo)	高野駅 (東京都)（こうや）
Kōyadai Station	荒野台駅（こうやだい）
Kōyaguchi Station	高野口駅（こうやぐち）
Koyama Station	湖山駅（こやま）
Koyamatsu Station	小谷松駅（こやまつ）
Koyanagi Station	小柳駅 (青森県)（こやなぎ）
Koyanohata Station	小屋の畑駅（こやのはた）
Koyanose Station	木屋瀬駅（こやのせ）
Kōyasan Station	高野山駅（こうやさん）
Kōyashita Station	高野下駅（こうやした）
Koyasu Station	子安駅（こやす）
Koyaura Station	小屋浦駅（こやうら）
Kōyodo Station	香淀駅（こうよど）
Kōyōdai Station	光洋台駅（こうようだい）
Kōyōen Station	甲陽園駅（こうようえん）
Koyoshi Station	子吉駅（こよし）
Koyūkan-shin'eki Station	湖遊館新駅駅（こゆうかんしんえき）
Koza Station	古座駅（こざ）
Kōzai Station	香西駅（こうざい）
Kozakai Station	小坂井駅（こざかい）
Kōzaki Station	幸崎駅（こうざき）
Kōza-Shibuya Station	高座渋谷駅（こうざしぶや）
Kozawa Station	小沢駅 (北海道)（こざわ）
Kōzenji Station	光善寺駅（こうぜんじ）
Kōzōji Station	高蔵寺駅（こうぞうじ）
Kōzu Station (Osaka)	郡津駅（こうづ）
Kōzu Station (Kanagawa)	国府津駅（こうづ）
Kōzuki Station	上月駅（こうづき）
Kozukue Station	小机駅（こづくえ）
Kōzunomori Station	公津の杜駅（こうづのもり）
Kozurushinden Station	小鶴新田駅（こづるしんでん）
Kozuya Station	小鳥谷駅（こずや）
Ku - Ky[edit]
Kuba Station	玖波駅（くば）
Kubara Station	久原駅（くばら）
Kubiki Station	くびき駅（くびき）
Kubiki-Ōno Station	頸城大野駅（くびきおおの）
Kubochō Station	久保町駅（くぼちょう）
Kubokawa Station	窪川駅（くぼかわ）
Kubota Station (Akita)	久保田駅 (秋田県)（くぼた）
Kubota Station (Saga)	久保田駅 (佐賀県)（くぼた）
Kuchiba Station	口羽駅（くちば）
Kudamatsu Station	下松駅 (山口県)（くだまつ）
Kudanshita Station	九段下駅（くだんした）
Kudara Station	百済駅（くだら）
Kudoyama Station	九度山駅（くどやま）
Kuga Station	玖珂駅（くが）
Kugahara Station (Tokyo)	久が原駅（くがはら）
Kugahara Station (Chiba)	久我原駅（くがはら）
Kugayama Station	久我山駅（くがやま）
Kugemura Station	久下村駅（くげむら）
Kugenuma Station	鵠沼駅（くげぬま）
Kugenuma-Kaigan Station	鵠沼海岸駅（くげぬまかいがん）
Kugeta Station	久下田駅（くげた）
Kuguhara Station	久々原駅（くぐはら）
Kuguno Station	久々野駅（くぐの）
Kuhombutsu Station	九品仏駅（くほんぶつ）
Kuhonjikōsaten Station	九品寺交差点駅（くほんじこうさてん）
Kuinabashi Station	くいな橋駅（くいなばし）
Kuise Station	杭瀬駅（くいせ）
Kuji Station (Iwate)	久慈駅（くじ）
Kuji Station (Kanagawa)	久地駅（くじ）
Kujiranami Station	鯨波駅（くじらなみ）
Kujō Station (Kyoto)	九条駅 (京都府)（くじょう）
Kujō Station (Nara)	九条駅 (奈良県)（くじょう）
Kujō Station (Osaka)	九条駅 (大阪府)（くじょう）
Kuki Station (Saitama)	久喜駅（くき）
Kuki Station (Mie)	九鬼駅（くき）
Kumagane Station	熊ヶ根駅（くまがね）
Kumagawa Station	熊川駅（くまがわ）
Kumagaya Station	熊谷駅（くまがや）
Kumagaya Kamotsu Terminal Station	熊谷貨物ターミナル駅（くまがやかもつたーみなる）
Kumamoto Station	熊本駅（くまもと）
Kumamoto-eki-mae Station	熊本駅前駅（くまもとえきまえ）
Kumamotojō-mae Station	熊本城前駅（くまもとじょうまえ）
Kumamoto-Kōsen-mae Station	熊本高専前駅（くまもとこうせんまえ）
Kumanishi Station	熊西駅（くまにし）
Kumanojō Station	隈之城駅（くまのじょう）
Kumanomae Station	熊野前駅（くまのまえ）
Kumanoshi Station	熊野市駅（くまのし）
Kumasaki Station	熊崎駅（くまさき）
Kumatori Station	熊取駅（くまとり）
Kumayama Station	熊山駅（くまやま）
Kume Station	久米駅（くめ）
Kumeda Station	久米田駅（くめだ）
Kumegawa Station	久米川駅（くめがわ）
Kumihama Station	久美浜駅（くみはま）
Kumoi Station	雲井駅（くもい）
Kumonmyō Station	公文明駅（くもんみょう）
Kumura Station	玖村駅（くむら）
Kunado Station	久那土駅（くなど）
Kunda Station	栗田駅（くんだ）
Kunebetsu Station	久根別駅（くねべつ）
Kunifusa Station	国英駅（くにふさ）
Kunijima Station	柴島駅（くにじま）
Kunimi Station (Kochi)	国見駅 (高知県)（くにみ）
Kunimi Station (Miyagi)	国見駅 (宮城県)（くにみ）
Kunisada Station	国定駅（くにさだ）
Kunitachi Station	国立駅（くにたち）
Kuniya Station	国谷駅（くにや）
Kuniyoshi Station	国吉駅（くによし）
Kunnui Station	国縫駅（くんぬい）
Kunugiyama Station	くぬぎ山駅（くぬぎやま）
Kuragano Station	倉賀野駅（くらがの）
Kurahashi Station	倉橋駅（くらはし）
Kurakuenguchi Station	苦楽園口駅（くらくえんぐち）
Kurama Station	鞍馬駅（くらま）
Kuramae Station	蔵前駅（くらまえ）
Kuramaguchi Station	鞍馬口駅（くらまぐち）
Kurami Station	倉見駅（くらみ）
Kuramoto Station (Nagano)	倉本駅（くらもと）
Kuramoto Station (Tokushima)	蔵本駅（くらもと）
Kuranaga Station	倉永駅（くらなが）
Kurashiki Station	倉敷駅（くらしき）
Kurashikishi Station	倉敷市駅（くらしきし）
Kurate Station	鞍手駅（くらて）
Kurauchi Station	蔵内駅（くらうち）
Kurayoshi Station	倉吉駅（くらよし）
Kure-Portopia Station	呉ポートピア駅（くれぽーとぴあ）
Kure Station	呉駅（くれ）
Kureha Station	呉羽駅（くれは）
Kurihama Station	久里浜駅（くりはま）
Kurihara Tamachi Station	栗原田町駅（くりはらたまち）
Kurihashi Station	栗橋駅（くりはし）
Kurihira Station	栗平駅（くりひら）
Kurikara Station	倶利伽羅駅（くりから）
Kurikoma Station	栗駒駅（くりこま）
Kurikoma-Kōgen Station	くりこま高原駅（くりこまこうげん）
Kurikuma Station	栗熊駅（くりくま）
Kurino Station	栗野駅（くりの）
Kurioka Station	栗丘駅（くりおか）
Kurisawa Station	栗沢駅（くりさわ）
Kuriyagawa Station	厨川駅（くりやがわ）
Kuriyama Station	栗山駅（くりやま）
Kurōbaru Station	九郎原駅（くろうばる）
Kurobe Station	黒部駅（くろべ）
Kurobe-Unazukionsen Station	黒部宇奈月温泉駅（くろべうなづきおんせん）
Kuroda Station (Aichi)	黒田駅 (愛知県)（くろだ）
Kuroda Station (Nara)	黒田駅 (奈良県)（くろだ）
Kurodahara Station	黒田原駅（くろだはら）
Kurodashō Station	黒田庄駅（くろだしょう）
Kuroe Station	黒江駅（くろえ）
Kurogo Station	黒子駅（くろご）
Kurogō Station	黒川駅 (佐賀県)（くろごう）
Kurohime Station	黒姫駅（くろひめ）
Kuroi Station (Hyogo)	黒井駅 (兵庫県)（くろい）
Kuroi Station (Niigata)	黒井駅 (新潟県)（くろい）
Kuroimura Station	黒井村駅（くろいむら）
Kuroishi Station (Aomori)	黒石駅 (青森県)（くろいし）
Kuroishi Station (Kumamoto)	黒石駅 (熊本県)（くろいし）
Kuroiso Station	黒磯駅（くろいそ）
Kuroiwa Station	黒岩駅（くろいわ）
Kurokamimachi Station	黒髪町駅（くろかみまち）
Kurokawa Station (Aichi)	黒川駅 (愛知県)（くろかわ）
Kurokawa Station (Hyogo)	黒川駅 (兵庫県)（くろかわ）
Kurokawa Station (Kagawa)	黒川駅 (香川県)（くろかわ）
Kurokawa Station (Kanagawa)	黒川駅 (神奈川県)（くろかわ）
Kuromatsu Station (Miyagi)	黒松駅 (宮城県)（くろまつ）
Kuromatsu Station (Shimane)	黒松駅 (島根県)（くろまつ）
Kuromatsunai Station	黒松内駅（くろまつない）
Kurosaka Station	黒坂駅（くろさか）
Kurosaki Station	黒崎駅（くろさき）
Kurosakiekimae Station	黒崎駅前駅（くろさきえきまえ）
Kurosawa Station (Yokote, Akita)	黒沢駅 (秋田県横手市)（くろさわ）
Kurosawa Station (Yurihonjō, Akita)	黒沢駅 (秋田県由利本荘市)（くろさわ）
Kuroyama Station	黒山駅（くろやま）
Kurozasa Station	黒笹駅（くろざさ）
Kurumamichi Station	車道駅（くるまみち）
Kurumazaki-Jinja Station	車折神社駅（くるまざきじんじゃ）
Kurume Station	久留米駅（くるめ）
Kurume-daigaku-mae Station	久留米大学前駅（くるめだいがくまえ）
Kurume-Kōkōmae Station	久留米高校前駅（くるめこうこうまえ）
Kururi Station	久留里駅（くるり）
Kusae Station	草江駅（くさえ）
Kusaka Station	日下駅（くさか）
Kusami Station	朽網駅（くさみ）
Kusamichi Station	草道駅（くさみち）
Kusanagi Station (JR Central)	草薙駅 (JR東海)（くさなぎ）
Kusanagi Station (Shizuoka Railway)	草薙駅 (静岡鉄道)（くさなぎ）
Kusano Station (Fukushima)	草野駅 (福島県)（くさの）
Kusano Station (Hyogo)	草野駅 (兵庫県)（くさの）
Kusatsu Station (Hiroshima)	草津駅 (広島県)（くさつ）
Kusatsu Station (Shiga)	草津駅 (滋賀県)（くさつ）
Kusatsu-minami Station	草津南駅（くさつみなみ）
Kuse Station	久世駅（くせ）
Kushi Station	串駅（くし）
Kushida Station	櫛田駅（くしだ）
Kushigahama Station	櫛ヶ浜駅（くしがはま）
Kushikino Station	串木野駅（くしきの）
Kushima Station	串間駅（くしま）
Kushimoto Station	串本駅（くしもと）
Kushiro Station (Shimane)	久代駅（くしろ）
Kushiro Station (Hokkaido)	釧路駅（くしろ）
Kushiroshitsugen Station	釧路湿原駅（くしろしつげん）
Kushiwara Station	櫛原駅（くしわら）
Kusu Station	楠駅（くす）
Kusubashi Station	楠橋駅（くすばし）
Kusugawa Station	久寿川駅（くすがわ）
Kusuku Station	楠久駅（くすく）
Kusurimizu Station	薬水駅（くすりみず）
Kutani Station	久谷駅（くたに）
Kutano Station	久田野駅（くたの）
Kutchan Station	倶知安駅（くっちゃん）
Kute Station	久手駅　（くて）
Kutsukake Station	沓掛駅（くつかけ）
Kutsukawa Station	久津川駅（くつかわ）
Kuwagawa Station	桑川駅（くわがわ）
Kuwamachi Station	桑町駅（くわまち）
Kuwana Station	桑名駅（くわな）
Kuwanagawa Station	桑名川駅（くわながわ）
Kuwano Station	桑野駅（くわの）
Kuzakai Station	区界駅（くざかい）
Kuzaki Station	久崎駅（くざき）
Kuzu Station	葛駅（くず）
Kuzuha Station	樟葉駅（くずは）
Kuzumi Station	久住駅（くずみ）
Kuzuoka Station	葛岡駅（くずおか）
Kuzuryūko Station	九頭竜湖駅（くずりゅうこ）
Kuzuu Station	葛生駅（くずう）
Kyarabashi Station	伽羅橋駅（きゃらばし）
Kyōbashi Station (Osaka)	京橋駅 (大阪府)（きょうばし）
Kyōbashi Station (Tokyo)	京橋駅 (東京都)（きょうばし）
Kyōbate Station	京終駅（きょうばて）
Kyōden Station	経田駅（きょうでん）
Kyōdō Station	経堂駅（きょうどう）
Kyōgase Station	京ヶ瀬駅（きょうがせ）
Kyōguchi Station	京口駅（きょうぐち）
Kyōikudaimae Station	教育大前駅（きょういくだいまえ）
Kyōkaimae Station	教会前駅（きょうかいまえ）
Kyōmachionsen Station	京町温泉駅（きょうまちおんせん）
Kyocera-mae Station	京セラ前駅（きょうせらまえ）
Kyōshi Station	孝子駅（きょうし）
Kyōtanabe Station	京田辺駅（きょうたなべ）
Kyōtango-Ōmiya Station	京丹後大宮駅（きょうたんごおおみや）
Kyōteijō-mae Station	競艇場前駅 (東京都)（きょうていじょうまえ）
Kyoto Station	京都駅（きょうと）
Kyoto-kawaramachi Station	京都河原町駅（きょうとかわらまち）
Kyoto Seikadai-mae Station	京都精華大前駅（きょうとせいかだいまえ）
Kyoto-Shiyakusho-mae Station	京都市役所前駅（きょうとしやくしょまえ）
Kyōwa Station	共和駅（きょうわ）
Kyozuka Station	経塚駅（きょうづか）
Kyūdai-gakkentoshi Station	九大学研都市駅（きゅうだいがっけんとし）
Kyūhōji Station	久宝寺駅（きゅうほうじ）
Kyūhōjiguchi Station	久宝寺口駅（きゅうほうじぐち）
Kyūjōmae Station (Kochi)	球場前駅 (高知県)（きゅうじょうまえ）
Kyūjōmae Station (Okayama)	球場前駅 (岡山県)（きゅうじょうまえ）
Kyūkan Iryō Center-mae Station	急患医療センター前停留場（きゅうかんいりょうせんたーまえ）
Kyūkyoryūchi-Daimarumae Station	旧居留地・大丸前駅（きゅうきょりゅうちだいまるまえ）
Kyūragi Station	厳木駅（きゅうらぎ）
Kyūsandaimae Station	九産大前駅（きゅうさんだいまえ）
Kyūsendō Station	球泉洞駅（きゅうせんどう）
Kyūshirataki Station	旧白滝駅（きゅうしらたき）
Kyūshū-kōdai-mae Station	九州工大前駅（きゅうしゅうこうだいまえ）
Kyūshū Tetsudō Kinenkan Station	九州鉄道記念館駅（きゅうしゅうてつどうきねんかん）
